"Data flow","Reference area","Counterpart area","Energy flow","Time period (UTC)","Observation value","Time period (local)","Unit measure"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:00:00","1,205",2025-12-12 21:30:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:05:00","1,204",2025-12-12 21:35:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:10:00","1,204",2025-12-12 21:40:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:15:00","1,203",2025-12-12 21:45:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:20:00","1,198",2025-12-12 21:50:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:25:00","1,192",2025-12-12 21:55:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:30:00","1,189",2025-12-12 22:00:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:35:00","1,181",2025-12-12 22:05:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:40:00","1,177",2025-12-12 22:10:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:45:00","1,171",2025-12-12 22:15:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:50:00","1,169",2025-12-12 22:20:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T00:55:00","1,165",2025-12-12 22:25:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:00:00","1,163",2025-12-12 22:30:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:05:00","1,160",2025-12-12 22:35:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:10:00","1,155",2025-12-12 22:40:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:14:00","1,154",2025-12-12 22:44:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:20:00","1,148",2025-12-12 22:50:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:25:00","1,140",2025-12-12 22:55:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:30:00","1,135",2025-12-12 23:00:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:35:00","1,128",2025-12-12 23:05:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:40:00","1,121",2025-12-12 23:10:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:45:00","1,118",2025-12-12 23:15:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:50:00","1,120",2025-12-12 23:20:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T01:55:00","1,115",2025-12-12 23:25:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:00:00","1,110",2025-12-12 23:30:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:05:00","1,102",2025-12-12 23:35:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:10:00","1,101",2025-12-12 23:40:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:15:00","1,098",2025-12-12 23:45:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:20:00","1,093",2025-12-12 23:50:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:25:00","1,088",2025-12-12 23:55:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:30:00","1,087",2025-12-13,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:35:00","1,086",2025-12-13 00:05:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:40:00","1,083",2025-12-13 00:10:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:45:00","1,079",2025-12-13 00:15:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:50:00","1,076",2025-12-13 00:20:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T02:55:00","1,073",2025-12-13 00:25:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:00:00","1,070",2025-12-13 00:30:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:05:00","1,070",2025-12-13 00:35:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:10:00","1,073",2025-12-13 00:40:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:15:00","1,066",2025-12-13 00:45:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:20:00","1,062",2025-12-13 00:50:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:25:00","1,060",2025-12-13 00:55:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:30:00","1,059",2025-12-13 01:00:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:35:00","1,059",2025-12-13 01:05:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:40:00","1,059",2025-12-13 01:10:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:45:00","1,056",2025-12-13 01:15:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:49:00","1,054",2025-12-13 01:19:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T03:55:00","1,052",2025-12-13 01:25:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:00:00","1,054",2025-12-13 01:30:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:05:00","1,052",2025-12-13 01:35:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:10:00","1,050",2025-12-13 01:40:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:15:00","1,052",2025-12-13 01:45:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:20:00","1,050",2025-12-13 01:50:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:25:00","1,050",2025-12-13 01:55:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:30:00","1,050",2025-12-13 02:00:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:35:00","1,048",2025-12-13 02:05:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:40:00","1,047",2025-12-13 02:10:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:45:00","1,047",2025-12-13 02:15:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:50:00","1,047",2025-12-13 02:20:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T04:55:00","1,049",2025-12-13 02:25:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:00:00","1,049",2025-12-13 02:30:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:05:00","1,049",2025-12-13 02:35:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:10:00","1,047",2025-12-13 02:40:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:15:00","1,048",2025-12-13 02:45:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:20:00","1,048",2025-12-13 02:50:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:25:00","1,048",2025-12-13 02:55:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:30:00","1,047",2025-12-13 03:00:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:35:00","1,044",2025-12-13 03:05:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:40:00","1,045",2025-12-13 03:10:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:45:00","1,048",2025-12-13 03:15:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:50:00","1,047",2025-12-13 03:20:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T05:55:00","1,048",2025-12-13 03:25:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T06:00:00","1,047",2025-12-13 03:30:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T06:05:00","1,048",2025-12-13 03:35:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T06:10:00","1,048",2025-12-13 03:40:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T06:15:00","1,045",2025-12-13 03:45:00,"MW"
"CCEI:DF_HFED_NL(1.0)","CA_NL","N/A","DEMAND","2025-12-13T06:20:00","1,044",2025-12-13 03:50:00,"MW"
